"","amanitin.st8to10.uni.mean","cMO.st8to10.uni.mean","mPouVLOF.st8to10.uni.mean","mPSLOF.st8to10.uni.mean","mVegTLOF.st8to10.uni.mean","WntLOF.st8to10.uni.mean","NodalLOF.st8to10.uni.mean","BmpLOF.st8to10.uni.mean","amanitin.st8to10.uni.mean.padj","cMO.st8to10.uni.mean.padj","mPouVLOF.st8to10.uni.mean.padj","mPSLOF.st8to10.uni.mean.padj","mVegTLOF.st8to10.uni.mean.padj","WntLOF.st8to10.uni.mean.padj","NodalLOF.st8to10.uni.mean.padj","BmpLOF.st8to10.uni.mean.padj","av.pattern.G","dv.pattern.G","maternal.0to1hpf.tpm","meanSt8to11.tpm"
"Xetro.A00005|ube2r2",44.2177656066483,125.492410597094,209.447846279565,365.977238899775,147.719547272602,143.837003698643,84.0706316540004,90.2251667992947,0.0413573201907075,1,1.61781392267116e-06,5.36853611614669e-17,0.171791977070211,0.565853078024521,1,1,0.523888459345083,0.000862647311537817,2.87308162735898,3.79753411577189
"Xetro.A00007|dcaf12",30.2446889100983,90.1703928252665,169.302332492165,244.43196786061,129.076117096185,120.249940093828,81.2212757580367,84.8047860783416,5.45474147028506e-06,1,0.00251723664249029,2.3741135392689e-09,0.413370225436785,0.80557855327236,1,1,-0.915751386095573,-0.0428208981136261,147.16419686777,138.458784545215
"Xetro.A00008|ubap1",47.9999883717642,103.176632292568,227.498214345304,252.350243106293,97.9556133591703,126.590248407701,123.512179332978,115.406793606527,0.00606471740194278,1,6.05411621201625e-13,9.03919732835571e-17,1,0.143133005817578,1,1,-0.107299822033049,0.0210204212228628,83.6707044674107,56.7654442262027
"Xetro.A00014|vwa5a",22.644559133383,103.443847324876,277.442126651706,714.439091379722,90.5833714266425,29.892935407054,29.5487416129879,123.941513415416,0.00970584413150315,1,0.0720734704825123,2.21272363428816e-05,1,1.05520357088358e-05,6.66044218090267e-07,1,-2.34314907533893,0.888666288254803,0.480021617749642,0.385340649797763
"Xetro.A00020|vcp",41.6950849940291,108.242298524734,192.530296044151,299.892255400344,108.455275247811,125.317753048267,104.596180790579,96.5872914357255,2.50686679883315e-06,1,9.40191330497992e-05,1.26767305132222e-12,0.994033607403693,0.521842219769788,1,1,0.567079527387062,0.0822442364906483,120.606563257237,111.257114191588
"Xetro.A00025|stoml2",29.0628123207988,106.963022242155,174.426084214364,295.201597780104,133.669173363908,131.103034063229,81.5508638237118,79.6462520701531,4.96389035292988e-06,1,1.58739531690341e-05,3.47414087347799e-20,0.250095339530204,0.449171946530213,0.894114557791984,1,0.356721174270721,0.10586656929722,113.817188906495,84.7388319554869
"Xetro.A00030|unnamed",19.0770198092884,89.5761868791086,384.966344364468,960.771456419795,135.90742529238,129.852505601061,83.3720650028704,96.631114985258,0.0201405880416745,1,2.47875945150379e-05,1.917399697012e-15,0.481897285852152,1,1,1,1.74131899645247,-0.210745342731674,0.0124067950150497,1.03191412542854
"Xetro.A00059|celf4",24.9705971528991,121.808062491522,63.6152535812615,110.319575972101,121.842962413581,123.521710283473,81.3111362594151,131.115324630466,0.00174700354179607,1,0.111196306859344,0.345230458478922,0.960182022454675,0.966970335504164,0.984160283614214,1,-0.264454220545545,0.350440601585727,0.247547432260575,0.262361113153521
"Xetro.A00060|",0.213360754519328,118.549803680604,43.7256215414337,63.4893276093368,81.0840609915964,118.302833336658,48.2878968114672,87.5773037347522,3.23482026879082e-56,1,1.91289822690459e-19,4.76708207020834e-07,0.284860088220704,0.984503339469532,0.000134690930971001,1,-1.37627951958206,0.173224503273578,0,49.1642074057945
"Xetro.A00076|elac1",47.9552135136726,100.681156853522,108.60925109847,129.163206959512,114.812706314211,158.419500707331,103.58205758746,88.9762741930514,0.00107378946135962,1,0.35421053188602,0.0265294002257439,0.847452433294242,0.186927904557813,1,1,-0.70705789340647,-0.294355562254772,59.6872618108035,29.1273019414579
