Peak,DNase,RNAPII,H3K4me1,Input
scaffold_3-502,5.37,30.27,1.34,1.52
scaffold_2-700,3.91,2.93,4.16,1.51
scaffold_1-956,3.34,15.16,2.74,0.94
scaffold_1-970,3.52,3.21,2.56,1.19
scaffold_9-451,4.17,7.23,3.35,1.53
scaffold_10-227,3.32,1.85,3.95,1.24
scaffold_1-969,4.82,12.17,2.59,1.3
scaffold_9-453,4.73,3.8,3.03,1.58
scaffold_1-989,5.06,54.72,3.8,1.58
scaffold_7-552,3.79,9.35,5.72,1.53
scaffold_5-513,3.46,1.41,3.76,1.27
scaffold_7-543,3.86,0.82,4.55,1.32
scaffold_1-992,3.46,0.76,4.43,1.5
scaffold_6-643,4.96,4.24,5.72,1.52
scaffold_3-497,3.75,8.26,3.81,1.43
scaffold_1-975,3.79,8.75,2.73,1.33
scaffold_8-547,3.59,6.74,3.03,1.2
scaffold_3-507,3.16,1.41,2.43,1.04
scaffold_4-619,3.8,2.12,4.34,1.56
scaffold_7-542,3.28,1.58,3.01,1.04
scaffold_3-499,4.21,7.17,5.44,1.49
scaffold_8-557,4.31,3.64,6.3,1.58
scaffold_4-657,3.4,3.75,5.54,0.94
scaffold_2-706,4.92,10.6,2.62,1.62
scaffold_10-228,3.99,2.93,2.95,0.98
scaffold_3-510,3.67,2.72,5.71,1.26
scaffold_6-650,4.67,184.38,1.37,1
scaffold_2-712,3.65,2.93,5.2,1.14
scaffold_4-617,4.68,4.29,2.93,1.74
scaffold_4-631,3.96,4.02,4.88,1.21
scaffold_4-623,4.25,2.88,5.17,1.34
scaffold_3-495,4.34,4.35,3.02,1.59
scaffold_10-236,3.73,1.58,3.77,1.53
scaffold_9-442,4.41,1.9,5.78,1.15
scaffold_2-708,4.49,35.32,5.6,1.61
scaffold_44-10,3.43,6.3,2.88,1.26
scaffold_2-660,3.74,0.92,4.04,1.54
scaffold_4-642,3.69,6.96,4.51,1.25
scaffold_10-237,3.59,1.14,3.54,1.23
scaffold_4-647,4.62,53.15,1.37,1.71
scaffold_4-640,4.02,4.89,3.57,1.62
scaffold_6-640,4.66,12.5,2.74,1.4
scaffold_9-447,4.35,8.04,4.33,1.32
scaffold_4-648,5.67,39.67,1.73,1.64
scaffold_1-951,4.36,3.53,4.04,1.66
scaffold_3-493,3.44,1.9,4.67,1
scaffold_7-553,3.95,8.8,1.9,1.26
scaffold_5-528,3.86,1.52,3,1.37
scaffold_7-554,3.98,9.94,2.18,1.19
scaffold_8-551,3.75,0.87,3.16,1.29
scaffold_4-627,3.5,1.41,3.81,1.25
scaffold_2-711,3.55,1.14,5.44,1.47
scaffold_10-234,3.72,3.53,4.9,1.47
scaffold_9-420,4.11,2.28,4.97,1.24
scaffold_5-521,3.56,1.14,4.24,1.25
scaffold_152-1,3.88,3.15,3.13,1.38
scaffold_5-515,3.6,1.96,3.12,0.77
scaffold_135-3,4.57,8.1,4.06,1.3
scaffold_4-624,3.78,2.99,3.48,1.13
scaffold_5174-1,3.4,3.04,2.72,1.27
scaffold_1-990,3.72,3.75,4.69,1.17
scaffold_8-553,3.73,2.23,4.56,1.19
scaffold_9-452,4.19,5.05,2.93,1.39
scaffold_7-569,3.54,2.12,2.25,1.06
scaffold_4-656,4.81,15.38,2.39,1.68
scaffold_2-687,3.67,1.2,4.05,1.45
scaffold_8b-22,3.67,4.13,2.76,1.2
scaffold_7-547,3.47,1.41,3.25,1.38
scaffold_7-563,3.77,4.78,5.67,1.5
scaffold_2-720,4.24,7.72,2.38,1.33
scaffold_2-717,3.31,1.3,4.1,1.35
scaffold_6-642,3.77,3.75,2.62,1.28
scaffold_2-701,3.84,2.55,3.81,1.3
scaffold_7-562,3.56,4.4,5.49,1.34
scaffold_7-551,5.3,18.26,2.1,1.76
scaffold_3-501,4.69,1.25,4.28,1.55
scaffold_2-715,5.14,2.61,4.49,1.71
scaffold_1-997,3.69,3.1,6.9,1.39
scaffold_3-506,4.74,20.27,3.89,1.62
scaffold_1-976,3.8,10.11,3.29,0.9
scaffold_8-562,3.83,2.61,3.14,1.33
scaffold_9-448,5.08,15.7,3.86,1.78
scaffold_1091-1,4.54,16.08,3.05,1.58
scaffold_1-991,4.24,2.45,3.63,0.98
scaffold_2-726,3.65,2.61,4.43,1.2
scaffold_7-559,3.53,3.37,3.12,1.13
scaffold_8-563,3.63,22.33,3.08,1.37
scaffold_1-995,3.92,10.71,4.03,1.49
scaffold_5-520,4.08,1.47,4.34,1.09
scaffold_9-430,4.49,8.8,3.69,1.49
scaffold_10-240,3.57,3.91,3.29,1.47
scaffold_6-638,5.23,11.19,2.72,1.55
scaffold_9-450,3.4,2.12,2.09,1.14
scaffold_3-500,4.76,2.28,4.06,1.63
scaffold_2-694,4.17,3.26,4.24,1.55
scaffold_4-649,3.32,1.58,4.33,0.94
scaffold_6-644,5.15,5.49,3.82,1.42
scaffold_9-441,4,3.31,3.14,1.23
scaffold_8-564,4.05,3.26,2.78,1.39
scaffold_7-561,3.97,2.28,4.05,1.46
scaffold_44-11,4.36,4.67,0.81,0.83
scaffold_2-678,3.62,5.05,3.37,0.85
scaffold_7-560,4.35,132.43,1.55,1.45
scaffold_5-525,3.59,2.99,3.92,1.05
scaffold_5-534,5.12,3.42,6.53,1.18
scaffold_4-643,3.82,2.66,4.23,1.43
scaffold_2-696,6.11,258.93,1.25,1.3
scaffold_4-655,4.11,1.25,7.18,1.52
scaffold_9-422,4.33,15.7,4.32,1.48
scaffold_2-713,3.68,5.92,4.07,1.26
scaffold_4-667,4.23,15.27,3.59,1.32
scaffold_4-650,3.76,8.97,4.23,1.17
scaffold_4-637,4.08,4.13,3.63,1.51
scaffold_6-653,4.39,6.25,2.72,1.55
scaffold_3-508,3.56,1.63,2.66,1.08
scaffold_4-668,4.16,5.49,5.68,1.74
scaffold_4-661,3.42,2.39,4.44,0.95
scaffold_3-514,4.58,8.15,2.25,1.38
scaffold_2-722,3.56,4.67,3.76,0.89
scaffold_8-566,3.42,4.29,2.96,1.12
scaffold_6-646,3.5,1.41,3.42,0.93
scaffold_4-662,4.61,12.17,3.46,1.66
scaffold_1-1012,4.73,4.08,4.26,1.65
scaffold_9-434,4.38,2.12,2.59,1.36
scaffold_8-567,3.74,1.96,4.65,1.08
scaffold_8-572,2.86,1.47,2.82,1.08
scaffold_4-639,3.98,5.11,2.67,1.39
scaffold_2-736,4.17,4.95,2.45,1.51
scaffold_8-578,4.89,18.96,1.56,1.44
scaffold_2-735,3.45,2.12,4.09,1.08
scaffold_1-999,3.76,1.85,3.05,1.27
scaffold_4-654,4.4,10.98,3.66,1.63
scaffold_8-555,4.23,1.36,4.39,1.11
scaffold_134-2,3.77,1.2,3.49,1.67
scaffold_4-678,4,5.92,2.14,1.53
scaffold_7-581,4.62,1.58,2.29,0.81
scaffold_1-981,4.78,2.12,3.2,1.45
scaffold_2-702,2.94,1.96,2.15,0.89
scaffold_5-524,3.79,1.09,3.25,1.3
scaffold_5-498,3.28,0.6,2.58,0.7
scaffold_3-520,3.43,3.7,3.05,1.38
scaffold_8-569,4.44,48.04,3.24,1.7
scaffold_4-659,3.42,1.52,4.45,1.31
scaffold_1-1003,4.11,10.71,5.05,1.47
scaffold_10-238,4.25,3.48,3.54,1.35
scaffold_4-672,3.63,1.63,5.79,1.14
scaffold_3-516,4.77,14.07,3.82,1.76
scaffold_4-632,3.86,1.9,4.4,1.2
scaffold_7-556,4.69,8.91,3.72,1.54
scaffold_7-575,3.64,7.01,3.72,1.5
scaffold_9-459,3.25,3.8,3.3,0.94
scaffold_302-3,4.82,43.04,2.93,1.23
scaffold_5-517,4.02,6.41,4.1,1.16
scaffold_9-457,3.42,2.17,5.39,0.93
scaffold_2-716,3.94,18.58,3.81,1.2
scaffold_4-671,3.7,7.5,4.24,1.27
scaffold_6-648,4.97,16.57,4.33,1.64
scaffold_2-704,4.67,9.07,3.97,1.34
scaffold_7-565,4.39,2.45,3.95,1.25
scaffold_2-729,3.82,9.4,3.01,1.49
scaffold_9-449,3.75,11.25,7.88,1.51
scaffold_2-734,3.98,3.53,3.58,1.38
scaffold_1-1001,3.56,1.68,3.1,1.37
scaffold_7-567,4.16,1.03,3.87,1.21
scaffold_2-707,3.64,1.36,3.35,1.2
scaffold_10-242,5.19,2.77,2.47,1.54
scaffold_8-558,3.47,6.79,1.98,1.34
scaffold_7-566,3.15,5.81,2.74,0.84
scaffold_7-568,3.75,3.59,4.32,1.51
scaffold_1-1017,4.36,7.44,3.07,1.08
scaffold_2-727,5.62,3.37,5.79,1.67
scaffold_109-11,3.86,19.13,5.03,1.26
scaffold_2-709,3.31,1.36,3.19,1.34
scaffold_173-6,4.26,11.25,3.13,1.71
scaffold_9-445,3.73,3.75,3.13,1.33
scaffold_4-660,3.99,1.2,4.51,1.58
scaffold_5-526,4.92,28.42,2.55,1.74
scaffold_1-1010,3.68,5.92,5.92,1.43
scaffold_2-725,5.3,193.51,1.31,1.49
scaffold_2-718,5.16,87.33,3.83,1.59
scaffold_6-652,3.21,15.54,4.53,1.39
scaffold_5-529,4.13,1.52,2.77,1.44
scaffold_3-511,4.14,1.2,5.05,1.62
scaffold_1-987,4.03,20.87,2.27,1.55
scaffold_9-461,4.09,2.83,5.95,1.15
scaffold_8c-28,3.42,4.78,4.27,1.17
scaffold_4-629,3.99,1.63,3.13,1.45
scaffold_4-646,4.1,1.47,2.78,1.39
scaffold_232-4,5.49,274.31,1.51,1.65
scaffold_10-245,5.9,35.97,2.62,1.63
scaffold_1-1013,3.25,1.85,3.18,1.37
scaffold_5-522,2.96,4.51,2.44,0.77
scaffold_1350-2,4.36,2.23,2.13,1.22
scaffold_3-518,3.38,3.37,2.25,1.3
scaffold_2-747,4.41,9.94,2.76,1.51
scaffold_38-32,3.31,6.63,2.84,0.96
scaffold_1-1002,3.28,1.79,4.35,1.2
scaffold_1-1009,3.9,7.61,5.04,1.46
scaffold_4-679,4.64,3.04,3.53,1.48
scaffold_1-1004,3.7,1.74,3.01,1.36
scaffold_3-521,5.15,30,1.6,1.72
scaffold_7-574,4.6,15.11,6.92,1.57
scaffold_7-558,3.95,4.56,4.27,1.43
scaffold_1-1005,3.7,0.87,3.93,1.36
scaffold_4-680,5.1,21.95,1.4,1.4
scaffold_9-437,4.09,5.98,3.16,1.45
scaffold_9-454,3.71,2.34,3.14,1.38
scaffold_95-1,3.35,0.76,3.65,1.18
scaffold_5-539,3.83,3.1,3.72,1.1
scaffold_8-576,3.84,3.42,9.71,1.46
scaffold_4-683,3.85,2.66,4.04,1.36
scaffold_5878-1,4.36,4.84,3.31,1.63
scaffold_1-1006,4.01,31.79,3.05,1.54
scaffold_4-652,3.99,13.04,2.65,1.15
scaffold_38-35,4.34,12.01,2.95,1.26
scaffold_3-517,3.74,3.8,5.05,1.36
scaffold_1-993,4.9,4.18,3.2,1.55
scaffold_2-732,4.38,3.1,4.1,1.66
scaffold_6-657,5.64,15.22,2.51,1.56
scaffold_10-247,3.57,2.01,2.2,1.2
scaffold_1-958,5.39,10.43,3.48,1.46
scaffold_7-557,3.7,7.72,3.81,1.43
scaffold_5-538,3.99,23.04,3.17,1.6
scaffold_5-527,3.52,1.74,3.31,0.94
scaffold_10-241,3.41,3.1,2.97,1.08
scaffold_8-584,4.77,27.99,3.42,1.52
scaffold_6-634,4.17,4.29,8.43,1.39
scaffold_1-1000,3.68,1.14,2.3,1.23
scaffold_6-665,4.94,7.12,3.22,1.52
scaffold_8-588,3.25,2.34,2.72,1.2
scaffold_3-512,2.84,5,2.01,0.77
scaffold_5-535,3.98,43.96,2.1,1.44
scaffold_75-18,3.14,2.12,3.62,1.03
scaffold_2-740,3.53,2.01,4.93,1.19
scaffold_10-250,3.4,2.99,3.29,1.12
scaffold_4-673,3.05,2.99,4.73,1.18
scaffold_6-659,3.55,5.38,1.49,1.3
scaffold_2-737,4.28,4.78,3.02,1.34
scaffold_8-583,3.33,1.79,5.11,1.13
scaffold_35-3,3.46,5,2.8,0.91
scaffold_2-730,3.16,2.55,4.23,1.27
scaffold_4-622,3.95,2.23,3.6,1.33
scaffold_2-739,4.56,10.38,2.7,1.72
scaffold_2-743,3.86,9.46,1.74,1.26
scaffold_4-663,4,4.84,2.61,1.39
scaffold_10-246,3.43,6.96,5.08,1.28
scaffold_9-446,4.24,3.59,5.39,1.61
scaffold_7-572,4.5,29.78,2.58,1.55
scaffold_7-584,4.59,13.91,3.75,1.57
scaffold_10-243,3.7,1.52,3.41,1.37
scaffold_1-1020,3.5,2.88,3.17,1.08
scaffold_5-531,3.72,12.23,3.4,1.46
scaffold_5-543,3.64,2.17,5.27,1.55
scaffold_3-532,4.06,1.58,7.09,1.43
scaffold_4-674,3.74,0.76,4.87,1.34
scaffold_4-697,4.23,6.52,4.01,1.62
scaffold_9-456,3.81,3.31,4.55,1.21
scaffold_6-661,4.02,6.3,2.67,1.34
scaffold_1-1011,4.41,5.43,4.55,1.45
scaffold_7-586,3.78,2.66,3.64,1.34
scaffold_2-731,3.56,1.41,3.39,1.49
scaffold_2-756,4.72,203.23,1.31,1.28
scaffold_2-746,4.52,20.32,2.48,1.24
scaffold_6-651,4.67,4.24,4.67,1.68
scaffold_6-679,4.17,14.67,5.51,1.5
scaffold_5-544,4.07,12.82,3.8,1.38
scaffold_10-244,4.37,6.96,3.43,1.56
scaffold_3-528,3.91,2.12,4.73,1.55
scaffold_1-1026,3.51,1.41,3.57,1.16
scaffold_9-458,3.94,14.13,2.91,1.47
scaffold_1-1021,3.8,1.74,4.07,1.35
scaffold_1-1018,3.96,3.53,6.72,1.2
scaffold_6-655,3.68,1.3,3.1,1.33
scaffold_5-540,4.43,3.53,3.24,1.4
scaffold_8-574,3.82,3.26,4.99,1.47
scaffold_7-580,4.5,6.09,2.96,1.63
scaffold_2-733,3.95,2.93,2.67,1.22
scaffold_1-1027,4.48,7.39,4.07,1.9
scaffold_2-754,4.82,47.06,2.45,1.55
scaffold_6-671,3.12,0.92,3.28,1.21
scaffold_1-1040,3.46,2.12,4.62,1.23
scaffold_9-465,3.4,1.3,1.97,1.04
scaffold_6-681,3.26,1.74,2.27,0.9
scaffold_4-665,3.76,10.49,5.67,1.28
scaffold_1-1033,4.27,3.31,3.3,1.65
scaffold_38-36,3.67,5.22,4.04,0.94
scaffold_8-592,4.29,27.5,2.67,1.34
scaffold_4-676,3.54,3.26,3.16,1.37
scaffold_7-591,4.38,11.14,4.27,1.48
scaffold_4-644,3.84,2.99,4.05,1.06
scaffold_6-654,3.68,5.05,3.29,1.34
scaffold_53-6,5.22,5.11,6.6,1.29
scaffold_8-580,3.48,3.15,2.95,1.31
scaffold_4-684,3.56,1.74,3.1,0.86
scaffold_2-723,3.54,35.92,2.14,1.34
scaffold_8-568,4.08,15.49,1.96,1.44
scaffold_2-759,3.35,2.66,3.82,1.38
scaffold_1-1031,3.84,12.55,3.11,1.26
scaffold_5-533,4.28,5.87,4.58,1.48
scaffold_8-582,3.97,2.77,5.42,1.28
scaffold_2-728,4.98,2.88,7.67,1.68
scaffold_9-455,4.48,7.01,3.18,1.37
scaffold_1-973,3.94,2.77,7.48,1.36
scaffold_10-233,4.09,3.04,3.41,1.39
scaffold_8-570,3.69,2.39,2.47,1.21
scaffold_5-536,3.99,2.23,4.07,1.22
scaffold_8-579,3.63,1.96,5.36,0.95
scaffold_1-1047,4.09,4.24,3.68,1.49
scaffold_2-745,4.28,4.18,4.27,1.44
scaffold_1-998,4.02,3.1,3.24,1.31
scaffold_3-523,3.6,9.78,4.97,1.28
scaffold_4-693,3.15,2.12,1.64,0.86
scaffold_4-682,3.51,1.36,4.4,1.2
scaffold_10-249,3.48,6.25,2.89,1.19
scaffold_1-1025,3.94,5.38,3.59,1.39
scaffold_10-251,4.19,12.66,2.93,1.26
scaffold_3-515,4.87,2.06,5.15,1.41
scaffold_2069-1,3.64,6.52,6.83,1.42
scaffold_6-668,3.31,2.34,4.51,1.2
scaffold_1-979,4.11,2.34,4.59,1.13
scaffold_2-721,3.23,1.36,2.35,1.1
scaffold_4-685,4.26,6.9,2.87,1.57
scaffold_1-1042,6.26,248.66,1.64,1.76
scaffold_7-576,3.91,4.56,4.38,1.5
scaffold_2-741,4.49,11.03,3.29,1.42
scaffold_3-524,3.29,2.01,2.14,1.27
scaffold_6-666,3.02,6.79,1.58,1.01
scaffold_2-751,5.61,3.37,5.79,1.67
scaffold_9-460,3.51,2.66,3.43,1.12
scaffold_5-549,5.16,184.27,1.57,1.54
scaffold_8-594,3.82,8.31,1.66,1.27
scaffold_1-1048,4.87,1.58,7.83,1.46
scaffold_2-724,5.19,16.03,2.03,1.59
scaffold_1-1045,3.74,1.85,2.89,1.39
scaffold_3-538,3.14,2.28,1.72,1.08
scaffold_7-593,4.09,5.22,3.77,1.51
scaffold_6-660,4.91,11.9,2.68,1.67
scaffold_5-551,4.05,8.1,2.62,1.34
scaffold_1-1023,4.26,22.44,2.03,1.27
scaffold_5-546,4.47,7.28,4.61,1.46
scaffold_7-588,4.14,10.71,3.72,1.45
scaffold_1-1029,4.17,13.37,4.11,1.3
scaffold_1-1015,3.8,11.09,5.08,1.11
scaffold_5-550,4.5,1.9,3.58,1.5
scaffold_4-691,3.92,3.64,3.84,1.57
scaffold_4-638,4.84,12.55,2.06,1.66
scaffold_3-513,3.79,8.48,2.35,1.52
scaffold_10-256,4,1.2,2.89,1.35
scaffold_9-464,3.93,5.33,3.23,1.39
scaffold_205-5,4.01,4.08,4.06,1.12
scaffold_5-530,4.04,4.67,2.54,1.42
scaffold_3-526,4.24,13.15,3.92,1.61
scaffold_1-1035,3.82,6.47,3.32,1.44
scaffold_4-681,3.46,2.5,3.54,1.49
scaffold_1-1062,3.77,0.92,6.15,1.52
scaffold_5-556,3.57,2.28,5.17,1.14
scaffold_7-564,3.85,3.37,5.85,1.48
scaffold_9-468,3.21,4.29,3.14,1.12
scaffold_10-254,3.4,2.06,5.03,1.34
scaffold_7-594,3.49,6.52,4.27,1.25
scaffold_6-670,4.05,15,2.48,1.28
scaffold_3-519,4.43,2.23,3.57,1.48
scaffold_4-689,4.13,9.24,2.7,1.34
scaffold_8-607,3.46,10.38,5.65,1.09
scaffold_7-577,4.25,6.47,3.31,1.49
scaffold_2-760,3.96,2.5,2.67,1.16
scaffold_6-645,4,4.35,2.07,1.3
scaffold_3-537,3.6,2.83,2.79,1.32
scaffold_6-663,3.51,3.91,3.47,1.12
scaffold_4-692,3.31,4.08,3.66,1.25
scaffold_2-768,4.23,1.63,4.36,1.52
scaffold_1-1032,3.91,6.85,2.89,1.46
scaffold_1-1043,6.34,240.29,1.78,1.84
scaffold_7-590,4.01,10.54,1.81,1.39
scaffold_4-695,3.75,18.1,3.22,1.35
scaffold_4-675,3.33,4.73,6.38,1.36
scaffold_1-1024,4.3,13.42,2.38,1.32
scaffold_2-714,4.5,11.68,3.28,1.62
scaffold_8-591,3.61,1.58,2.84,1.15
scaffold_6-673,3.23,1.14,2.61,1.03
scaffold_6-678,3.76,15.05,1.75,1.4
scaffold_2-750,4.34,6.09,4.01,1.64
scaffold_9-471,3.51,4.78,2.82,1.43
scaffold_8-587,5.4,21.19,5.5,1.49
scaffold_7-585,4.01,1.3,5.76,1.33
scaffold_5b-18,3.49,1.25,3.63,1.33
scaffold_1-1008,3.41,1.96,5.53,1.21
scaffold_8-590,3.65,3.21,3.32,1.14
scaffold_7335-1,4.02,7.34,2.84,1.44
scaffold_4-664,4.63,8.97,4.18,1.54
scaffold_3-530,3.83,2.83,6.24,1.28
scaffold_2-748,4.3,1.52,2.36,1.25
scaffold_3-527,3.19,2.17,3.2,1.19
scaffold_6-662,4.11,3.42,5.28,1.61
scaffold_2-752,4.94,4.18,8.43,1.94
scaffold_8-596,4.4,12.01,2.66,1.56
scaffold_7-583,3.88,8.31,4.73,1.48
scaffold_1-1046,3.73,3.1,6.21,1.32
scaffold_9-474,4.41,3.48,3.1,1.5
scaffold_7-570,3.45,3.15,4.58,1.06
scaffold_7-592,3.61,1.79,5.63,1.25
scaffold_5-541,3.56,6.3,2.03,1.23
scaffold_1-1034,3.48,5.05,2.55,1.23
scaffold_5-545,3.4,2.66,2.79,1.01
scaffold_1-1054,5.09,11.63,3.02,1.57
scaffold_2-765,3.28,8.04,4.35,1.07
scaffold_10-253,3.99,36.52,3.74,1.39
scaffold_6-656,3.95,3.75,3.71,1.32
scaffold_2-763,3.45,2.28,3.35,1.2
scaffold_6-669,4.17,3.21,2.31,0.98
scaffold_8-577,3.58,3.15,3.05,1.46
scaffold_4-670,3.63,1.41,4.65,1.51
scaffold_2-755,3.47,5.27,6.21,1.4
scaffold_192-2,3.78,2.83,2.96,1.38
scaffold_5-561,3.68,4.35,4.13,1.23
scaffold_3-536,4.66,2.77,4.11,1.39
scaffold_7-596,3.69,6.74,3.72,1.53
scaffold_9-469,3.91,2.5,4.18,1.37
scaffold_3b-11,3.42,1.09,3.1,0.77
scaffold_3-541,4.25,14.13,2.51,1.45
scaffold_47-2,3.26,1.09,3.7,0.94
scaffold_1-1007,3.89,3.91,3.43,1.51
scaffold_2-753,3.99,5.98,3.01,1.46
scaffold_6-676,4.53,1.74,6.36,1.54
scaffold_1-1050,4.64,19.18,4.04,1.6
scaffold_1-1051,4.09,5.05,4.11,1.53
scaffold_6-667,3.36,3.86,2.42,1.05
scaffold_7-598,3.8,12.34,3.98,1.34
scaffold_4-688,3.58,8.15,4.03,1.61
scaffold_2-767,3.76,8.64,5.38,1.08
scaffold_7-578,3.79,30.76,3.41,1.33
scaffold_2-761,4.02,1.36,5.86,1.5
scaffold_4-711,3.8,1.09,3.06,1.35
scaffold_9-478,3.66,2.39,3.58,1.22
scaffold_4-703,3.83,55.37,3.12,1.45
scaffold_6-689,3.55,4.08,4.23,1.23
scaffold_1-1037,3.82,5.54,2.12,1.54
scaffold_7-589,3.42,2.77,3.69,1.32
scaffold_3-533,4.01,2.23,4.28,1.43
scaffold_5-537,3.14,1.74,4.75,0.94
scaffold_5-542,4.46,5.65,2.55,1.4
scaffold_1-1030,3.75,13.91,3,1.57
scaffold_1-1038,3.79,8.69,2.13,1.14
scaffold_5b-19,3.73,8.1,2.88,1.27
scaffold_3-535,3.44,4.73,2.25,1.35
scaffold_6-685,3.54,4.08,3.95,1.13
scaffold_7-595,4.76,33.31,2.13,1.21
scaffold_4-653,3.84,1.9,5.54,1.23
scaffold_9-473,3.38,1.96,3.87,1.17
scaffold_9-472,3.95,1.68,2.82,0.88
scaffold_1-1065,4.1,2.01,3.74,1.41
scaffold_4-708,4.15,4.51,2.74,1.41
scaffold_8-605,4.14,14.56,3.46,1.51
scaffold_2-764,3.26,0.76,2.91,1.08
scaffold_7-573,3.82,1.85,3.18,1.42
scaffold_7-579,3.58,2.12,4.39,1.07
scaffold_3-542,3.86,2.55,4.27,1.49
scaffold_2-691,3.24,1.85,2.94,1.14
scaffold_1-1060,4.4,40.43,2.01,1.65
scaffold_4-666,3.62,2.5,3.03,1.46
scaffold_2-771,3.17,2.39,3.01,1.28
scaffold_6-684,3.87,17.88,3.74,1.15
scaffold_1-1041,4.78,2.12,3.2,1.45
scaffold_10-255,4.39,5.22,3.31,1.47
scaffold_6-672,3.8,2.34,4.09,1.5
scaffold_3-531,3.68,2.39,4.95,1.01
scaffold_2-744,3.81,1.79,4.35,1.15
scaffold_2-766,4.07,16.68,2.42,1.48
scaffold_8-600,3.44,6.96,2.93,1.25
scaffold_1-1058,5.23,9.94,4.34,1.18
scaffold_2-757,3.52,4.08,3.29,1.48
scaffold_201-1,4.16,2.93,2.36,0.93
scaffold_2-749,4.21,11.74,3.37,1.42
scaffold_4-687,3.93,4.02,2.67,1.3
scaffold_4-710,4.2,5,3.28,1.58
scaffold_1-1022,3.83,2.28,2.8,1.17
scaffold_4-714,3.39,4.08,4.72,1.34
scaffold_9-463,4.23,30.97,4.99,1.47
scaffold_1-1064,4.54,5.81,3.28,1.63
scaffold_2-738,4.16,3.21,5.27,0.97
scaffold_4-686,3.71,2.55,6.09,1.52
scaffold_5-558,3.45,1.85,2.62,1.18
scaffold_9-467,3.95,7.83,7.81,1.35
scaffold_5-563,3.53,1.85,3.81,1.22
scaffold_8-608,6.12,158.73,1.8,1.23
scaffold_6-677,3.89,3.37,4.07,1.36
scaffold_8-585,3.77,4.73,4.16,1.42
scaffold_4-698,4.78,1.36,3.03,1.49
scaffold_5-547,4.14,1.25,2.83,1.3
scaffold_8-593,4.37,19.45,4.28,1.32
scaffold_7-600,4.9,5.33,5.45,1.31
scaffold_1-1019,3.85,1.96,2.58,1.21
scaffold_10-248,3.77,8.91,1.77,1.11
scaffold_1-1052,3.64,2.06,4.62,1.29
scaffold_18-5,5.31,5.43,2.1,1.56
scaffold_5-552,3.56,3.21,3.59,1.32
scaffold_3-522,3.37,1.14,2.74,1.31
scaffold_1-1068,3.82,4.46,4.36,1.3
scaffold_6-694,3.62,1.68,3.36,1.27
scaffold_4-704,3.71,1.74,5.55,1.23
scaffold_2-770,3.61,3.75,3.25,1.33
scaffold_6-698,5.08,6.58,5.68,1.68
scaffold_7-605,3.82,1.79,6.03,1.23
scaffold_6-692,3.62,3.26,3.2,1.12
scaffold_1-1014,3.78,11.52,4.74,1.29
scaffold_7-609,3.64,3.37,3.4,1.32
scaffold_1-1082,3.39,3.31,2.16,1.35
scaffold_2-774,5.43,3.8,6.17,1.66
scaffold_1-1085,5.2,21.63,2.97,1.56
scaffold_1-1090,3.23,1.74,4.06,1.09
scaffold_9-475,3.65,1.14,3.31,1.41
scaffold_1-1061,4.34,8.53,1.87,1.26
scaffold_4-706,4.65,6.63,2.67,1.52
scaffold_3-529,3.78,2.93,6.32,1.44
scaffold_2-775,3.51,8.97,1.75,0.77
scaffold_1-1078,3.86,2.99,5.15,1.29
scaffold_2-784,4.75,2.17,3.99,1.53
scaffold_4-701,3.36,0.98,3.59,1.28
scaffold_564-1,3.1,1.85,1.7,0.96
scaffold_7-603,5.33,16.57,4.68,1.47
scaffold_1-1028,3.8,5.71,2.91,1.37
scaffold_9-479,3.57,1.9,3.88,1.01
scaffold_8-614,3.66,25.65,3.71,1.56
scaffold_2-781,3.84,3.04,3.78,1.1
scaffold_1-1053,3.37,1.41,4.78,1.3
scaffold_7-599,3.74,5.33,2.22,0.79
scaffold_2-779,4.34,8.21,2.33,1.57
scaffold_1-1080,3.98,2.93,4.24,1.5
scaffold_7-587,3.77,5.11,3.37,1.49
scaffold_6-686,3.18,5.54,1.96,0.87
scaffold_5-560,3.89,1.9,6.2,1.5
scaffold_1-1044,3.47,6.79,2.62,1.29
scaffold_7-602,5.5,4.29,6.77,1.37
scaffold_5-523,3.6,3.64,3.12,1.39
scaffold_8-604,3.34,1.74,3.12,1.18
scaffold_4-717,4.44,8.69,2.64,1.58
scaffold_3-539,3.4,1.68,3.02,1.45
scaffold_8-601,3.63,2.01,2.87,1.39
scaffold_8-613,2.93,1.68,3.19,0.82
scaffold_7-601,3.89,1.74,1.97,1.11
scaffold_5-564,3.5,5.22,4.73,1.37
scaffold_3-543,3.78,7.39,7.12,1.44
scaffold_3-550,3.81,1.63,3.51,1.13
scaffold_10-261,3.47,3.04,4.07,1.29
scaffold_10-262,4.43,15.98,2.43,1.58
scaffold_4-699,4.64,4.89,7.24,1.41
scaffold_1-1089,3.78,2.34,3.07,1.47
scaffold_7-571,4.01,1.47,3.22,1.53
scaffold_4-727,5,37.71,2.31,1.65
scaffold_7-617,4.22,5.92,3.81,1.62
scaffold_6-695,4.36,1.25,1.98,1.18
scaffold_2-762,4.05,3.97,3.63,1.63
scaffold_8-611,4.66,2.28,2.5,1.54
scaffold_2-742,4.33,5.71,3.05,1.56
scaffold_3-553,3.9,5.27,4.28,1.17
scaffold_4-719,4,2.55,3.03,1.49
scaffold_1-1087,3.1,4.67,3.92,1.17
